ph,dissolved_oxygen,turbidity,conductivity,bod,nitrates,total_coliform,latitude,longitude,wqi
6.685,4.402,14.343,989.973,8.783,7.535,3.272,9.976,68.128,40.54
9.278,4.211,20.155,299.96,8.404,6.725,0.4,10.416,68.01,44.74
8.294,12.781,19.028,1314.972,1.601,3.605,1.212,25.603,81.696,67.02
7.694,4.244,3.932,939.019,11.11,12.185,3.868,21.147,68.85,50.39
5.702,4.535,3.816,277.946,7.037,9.585,2.643,29.341,96.261,53.55
5.702,10.872,6.778,1445.39,4.683,17.327,4.64,32.739,74.44,53.51
5.261,6.847,9.091,801.63,9.2,0.739,2.144,18.486,81.707,52.47
8.898,11.097,10.271,155.703,3.46,12.913,4.349,24.103,69.773,65.03
7.705,1.85,17.024,958.908,8.475,15.283,2.245,21.519,83.139,33.04
8.186,7.338,1.511,417.138,0.957,15.214,4.896,34.503,79.019,72.75
5.093,1.437,0.963,1215.356,10.153,17.733,4.799,30.439,69.295,30.45
9.365,1.814,9.859,1235.842,5.654,14.608,1.646,32.617,77.719,37.19
8.746,12.784,17.459,1469.474,7.822,18.563,4.43,14.867,79.352,41.87
5.956,2.81,4.917,777.711,3.044,6.72,4.238,28.858,96.708,52.23
5.818,7.921,16.073,709.687,8.286,10.114,1.053,15.168,74.029,50.71
5.825,6.344,6.57,1142.54,9.381,0.38,3.121,13.636,83.799,51.46
6.369,5.515,22.164,242.082,5.942,0.238,0.363,33.495,96.632,54.19
7.361,12.698,22.403,843.027,7.604,4.879,4.184,8.521,90.969,52.81
6.944,1.284,7.502,842.059,5.748,2.106,0.873,34.065,96.808,50.71
6.311,9.629,5.827,179.736,10.782,5.278,0.354,12.03,96.081,69.99
7.753,13.524,10.341,656.077,6.225,3.623,2.001,30.125,82.197,70.79
5.628,8.282,6.089,1287.263,10.181,0.668,2.885,15.45,88.195,55.0
6.315,13.179,16.842,1291.423,9.716,18.195,4.275,17.469,71.203,43.8
6.649,1.679,20.669,193.895,5.221,0.264,4.871,13.852,80.793,43.18
7.052,6.444,16.86,181.545,3.146,14.748,2.197,23.809,91.462,61.56
8.533,4.382,20.626,430.908,5.17,3.128,0.302,17.399,82.655,53.64
5.899,10.501,9.985,1318.411,10.001,18.253,3.746,25.75,88.378,49.18
7.314,13.757,3.992,236.909,3.118,17.867,2.826,8.422,89.627,76.99
7.666,4.335,18.475,1093.995,6.531,13.113,2.239,9.738,75.351,41.59
5.209,9.504,9.076,196.69,9.77,13.477,1.546,10.691,93.395,57.66
7.734,3.575,16.815,953.55,4.565,0.206,2.512,19.313,81.335,55.6
5.767,8.349,6.839,566.298,7.885,19.699,1.693,29.999,74.095,54.82
5.293,7.031,2.123,1193.925,3.325,17.569,3.785,31.981,93.097,55.09
9.27,13.636,24.815,388.851,1.757,17.913,2.719,14.61,80.117,57.31
9.345,8.911,3.989,976.843,9.635,13.219,4.384,23.508,89.759,53.73
8.638,5.544,24.712,391.74,1.638,6.961,2.718,28.746,83.893,55.09
6.371,2.483,24.434,1084.807,3.621,17.884,1.191,15.798,79.074,34.85
5.44,2.966,19.866,1316.833,10.334,5.901,4.255,19.043,91.486,24.87
8.079,3.929,16.52,233.863,4.484,11.298,2.786,22.147,84.95,53.05
6.981,4.263,14.487,1306.564,11.69,2.085,1.034,11.642,79.326,47.9
5.549,12.058,21.666,910.684,11.767,18.447,3.118,8.702,71.178,38.95
7.228,8.296,7.307,234.31,3.585,2.901,1.789,12.126,93.968,78.4
5.155,7.804,11.745,669.936,0.971,4.575,4.222,24.925,69.029,61.66
9.092,2.492,15.523,283.247,8.608,11.207,2.266,9.988,93.032,39.37
6.165,12.182,10.339,1065.504,5.686,15.305,3.632,13.122,78.439,54.73
7.981,10.397,10.744,1150.359,1.659,12.425,0.478,17.122,86.541,69.21
6.403,1.88,8.324,203.405,8.637,4.719,1.98,10.102,94.744,48.78
7.34,10.202,14.149,783.903,0.859,0.119,4.916,13.176,72.399,74.81
7.46,8.066,21.279,1231.206,10.507,15.167,4.042,32.604,84.442,40.62
5.832,2.062,5.118,1407.436,2.095,19.706,0.8,8.521,90.169,44.48
9.363,6.958,23.367,794.601,1.964,16.217,1.389,25.643,89.97,50.56
8.488,7.301,17.258,1427.905,2.52,9.258,1.649,18.379,83.243,56.23
9.228,3.155,20.6,826.749,11.543,18.085,3.252,26.162,86.117,27.45
9.027,13.294,13.949,621.576,8.471,8.256,3.785,23.895,89.968,50.62
7.691,12.05,19.51,1279.895,9.716,10.546,3.748,14.034,92.39,49.2
9.148,9.697,0.503,764.825,5.073,9.595,2.549,30.875,90.093,68.74
5.398,7.01,20.478,734.259,4.368,9.008,4.054,21.282,78.266,42.16
5.882,6.353,1.099,760.953,3.197,15.526,2.185,30.208,96.905,64.58
5.204,9.463,22.259,1277.838,6.027,10.583,0.619,18.962,80.601,44.14
6.464,8.091,24.8,1256.315,6.846,6.403,2.822,34.587,68.709,44.81
6.749,1.81,7.422,635.104,7.765,5.237,4.762,28.803,78.516,44.21
6.221,7.663,5.337,533.285,3.457,0.851,3.965,34.081,71.706,66.75
8.729,11.483,19.158,763.296,11.41,11.706,2.894,21.887,71.522,48.85
6.605,6.97,6.4,880.52,2.452,4.676,3.234,20.79,76.165,67.77
6.264,1.675,21.653,395.589,11.605,3.048,4.653,28.397,69.548,32.3
7.442,11.222,2.661,1201.235,0.671,13.111,2.142,31.768,87.967,79.76
5.634,3.618,3.236,755.4,6.033,13.656,1.657,34.032,70.146,47.35
8.61,4.362,24.481,534.366,4.334,15.068,4.886,16.763,73.895,38.36
5.335,3.141,16.879,204.89,5.665,10.121,4.317,29.565,70.694,37.49
9.441,5.293,21.187,396.325,7.063,17.892,1.615,13.687,69.832,37.78
8.475,10.838,8.176,1426.458,5.509,18.733,2.319,22.731,75.765,57.44
5.894,7.752,16.944,492.395,5.271,16.167,2.075,12.856,84.585,51.96
5.025,3.663,14.897,294.846,8.926,12.748,0.745,17.38,95.976,37.78
8.67,12.412,15.118,717.976,8.388,6.144,4.789,33.147,93.391,50.59
8.181,12.435,17.095,495.277,10.083,19.661,2.022,11.944,93.402,55.89
8.281,12.318,14.426,100.981,3.375,5.555,4.377,25.075,73.106,72.75
8.471,4.104,10.784,518.561,7.51,4.133,0.947,24.01,75.682,53.98
5.333,6.866,6.97,838.958,7.23,8.899,2.739,11.26,70.215,49.57
6.613,13.805,19.238,849.983,4.752,1.231,0.12,16.801,90.576,66.48
5.521,11.036,5.734,567.01,6.09,19.572,3.821,23.201,70.025,54.85
8.884,1.353,17.34,698.589,4.108,11.81,2.905,13.054,84.144,37.49
